车次,出发站,到达站,出发时间,到达时间,历时,商务座/特等座,一等座,二等座,高级软卧,软卧,动卧,硬卧,软座,硬座,无座,其他
5l0000G14253,上海虹桥,北京南,14:10,20:18,06:08,11,无,无,0,0,0,0,0,0,0,0
5l0000G144P0,上海虹桥,北京南,14:40,20:29,05:49,13,有,无,0,0,0,0,0,0,0,0
5l0000G146F0,上海虹桥,北京南,14:52,20:45,05:53,16,无,无,0,0,0,0,0,0,0,0
5l00000G1828,上海虹桥,北京南,15:00,19:28,04:28,11,无,无,0,0,0,0,0,0,0,0
5l0000G148C1,上海虹桥,北京南,15:30,21:12,05:42,16,无,无,0,0,0,0,0,0,0,0
5l00000G2218,上海虹桥,北京南,16:00,21:17,05:17,3,有,无,0,0,0,0,0,0,0,0
5l0000G15054,上海虹桥,北京南,16:05,21:48,05:43,18,无,无,0,0,0,0,0,0,0,0
5l0000G152D0,上海虹桥,北京南,16:18,21:52,05:34,无,0,0,0,0,0,0,0,0,0,0
5l00000G2401,上海虹桥,北京南,17:00,22:24,05:24,19,有,无,0,0,0,0,0,0,0,0
5l0000G15465,上海虹桥,北京南,17:14,22:40,05:26,6,有,无,0,0,0,0,0,0,0,0
5l0000G156Q0,上海虹桥,北京南,17:19,22:52,05:33,19,有,无,0,0,0,0,0,0,0,0
5600000G4499,杭州东,北京南,17:24,23:01,05:37,3,无,无,0,0,0,0,0,0,0,0
5l0000G158B5,上海虹桥,北京南,17:34,23:19,05:45,无,无,无,0,0,0,0,0,0,0,0
5l0000G160U0,上海虹桥,北京南,17:39,23:42,06:03,1,无,无,0,0,0,0,0,0,0,0
550000T11061,上海,北京,18:02,09:30,15:28,0,0,0,无,无,0,有,0,0,无,0
5l000000G813,上海虹桥,北京南,19:00,23:34,04:34,1,无,无,0,0,0,0,0,0,0,0
550000D31270,上海,北京南,19:10,07:07,11:57,0,0,0,0,0,0,0,0,0,无,0
550000D32260,上海,北京南,19:53,07:45,11:52,0,0,无,0,0,0,0,0,0,有,0
550000D31490,上海,北京南,21:07,08:55,11:48,0,0,有,0,0,0,0,0,0,有,0
